nct_id,title,conditions,phase,modality
NCT07174076,Prevention of Recurrence With Cordyceps Sinensis in Mycobacterium Avium Complex Pulmonary Disease,Mycobacterium Avium Complex Pulmonary Disease,PHASE4,small_molecule
NCT07061886,Drug Effects on Mood and Behavior - Expectancy,LSD,EARLY_PHASE1,small_molecule
NCT07285031,The Role of Histamines on Central Hemodynamics,Histamine | Exercise,NA,small_molecule
NCT06349486,"Efficacies of Bismuth-amoxicillin-vonoprazan Triple Therapy, Vonoprazan-amoxicillin Dual Therapy and Proton Pump Inhibitor-based Standard Triple Therapy in the First-line Anti-H. Pylori Treatment",Helicobacter Pylori Eradication,NA,small_molecule
NCT07055685,"Effects of Upper Limb Progressive Resistance Training Along With Core Stability Exercises on Pain, Core Strength and Upper Limb Balance in Cricket Fast Bowlers With Shoulder Injury",Shoulder Injuries,NA,combination
NCT07125066,"An Individual Patient, Open Label Study to Use ACER-001 to Treat Combined D,L-2-hydroxyglutaric Aciduria (C-2HGA)","Combined D,L-2-hydroxyglutaric Aciduria",PHASE1,small_molecule
NCT06841445,"A Multicenter, Randomized, Double-blind, Placebo- Parallel Controlled, Phase II Study to Evaluate the Efficacy and Safety of HRS9531 Tablet in Obese Subjects",Chronic Management of Body Weight,PHASE2,small_molecule
NCT06417645,the BIS Index Response is Poorly Described by Propofol Effect Site Eleveld's Model After Applying a Perturbation,Healthy | Surgery,PHASE4,small_molecule
NCT07212803,"Evaluation of Energy Drinks on Electrocardiographic Parameters: A Randomized, Double Blind, Controlled, Crossover, Proof-of-concept Study",Healthy Volunteers | Safety After Oral Intake,PHASE4,other_drug
NCT07112352,Healthy Ageing: a Feasibility Study to Evaluate Digitally-enabled Ways to Support Healthy Ageing,Frailty | Older Adults (65 Years and Older) | Digital Health Intervention | Feasibility Studies,PHASE2,combination
NCT06314334,"A Multicenter, Randomized, Controlled Phase II Screening Study of Combined Sequential Chemotherapy and Radiation Therapies for Early-stage Natural Killer/T-cell Lymphoma (IE/IIE)","Natural Killer/T-Cell Lymphoma, Nasal and Nasal-Type",PHASE2,small_molecule
NCT07350421,The Effectiveness of Inhaled Salbutamol in the Management of Transient Tachypnea of the Newborn(TTN),TTN,NA,small_molecule
NCT07271485,"Randomized, Placebo-Controlled Pilot Study of Propranolol for Treating Misophonia",Misophonia | Propanolol | Misophonia Treatment,EARLY_PHASE1,small_molecule
NCT07097844,A Comparison of the Efficacy of Sacral Erector Spinae Plane Block and Penile Block in Circumcision Surgery,Elective Circumcision Surgery,PHASE4,small_molecule
NCT06622239,"A Randomized, Double-Blinded Clinical Trial to Evaluate the Effects of Naltrexone in Improving Nonsuicidal Self-injurious Behavior",Nonsuicidal Self-Injury,PHASE2,small_molecule
NCT07102615,Intracervical Vasopressin for Completion of Hysteroscopic Removal of Retained Products of Conception,Retained Products of Conception,PHASE4,small_molecule
NCT06342258,Effects of Cured Bond On Sealant Retention In The Pediatric Population,Dental Sealant | Sealant Retention,PHASE1,small_molecule
NCT06919640,Psilocybin With Intracranial Neural Sensing,Chronic Pain,PHASE1,small_molecule
NCT04383912,Onabotulinum Toxin A to Improve Direct Brow Lift Outcomes,Direct Brow Lift | Scarring,NA,small_molecule
NCT03531255,"An Open Label, Non-Randomized, Multi-Center Extension Study to Evaluate the Long-Term Safety and Efficacy of Pegcetacoplan in the Treatment of Paroxysmal Nocturnal Hemoglobinuria (PNH)",PNH,PHASE3,small_molecule
NCT06419764,Combining Chinese Medicine and Nutrition to Enhance Weight Loss After Bariatric Surgery,Traditional Chinese Medicine Treatment | Weight Change,NA,small_molecule
NCT07041749,Comparison of the Efficacy of Microneedling Alone Versus Microneedling Coupled With Either Bleomycin or 5flourouracil in the Treatment of Plantar Warts,Warts of Foot,NA,biologic
NCT06612411,Purine Starvation Driven by Host-microbiota Maladaptation Contributes to the Pathogenesis of Irritable Bowel Syndrome,Irritable Bowel Syndrome with Diarrhea | Purine Metabolism Disorder,EARLY_PHASE1,small_molecule
